fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
4177,478268,7931239035,迪士尼旋律 · 好梦,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
1776,153049,7456611138,街声官方精选,3499003647,oivqNKnzoiCP7z**,StreetVoice街声,3317
6706,2058144,7916304966,华研国际丨重拾你的青春回忆,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1250,134931,7913743213,麦爱文化丨徐梦圆携国风电音全线回归,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
7784,1085954,7875578258,迪士尼旋律 · 好吃,1841473449,oKcPoKvloivPNv**,环球音乐国际部,3317
946,235067,7834632989,Supper Moment私藏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6047,2169644,7826291574,2020综艺 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4756,1354265,7826290487,2020影视 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
17629,4139475,7826288639,2020国风 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
25894,10916540,7826284157,2020电音 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
11120,4528755,7826295367,2020说唱 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
11672,5111393,7826297110,2020韩语流行 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
20943,5078267,7825263613,2020日语流行 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
16955,7512022,7824267360,2020粤语流行 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
27384,7752388,7823130341,2020英语流行 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
28753,10404213,7819310768,2020国语流行 Top 100,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
3955,893171,7794349504,SHOW ME THE MONEY 9,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
17848,2974071,7509960921,INDIE VIBE 独立音乐人,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
30700,20289451,7227158135,华语周速递,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
41290,11839566,7227200673,欧美周速递,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
25270,4966029,7227156733,KPOP周速递,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
10195,1558236,7227240153,JPOP周速递,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
34004,21783997,7356890630,粤语周速递,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1296,549797,7632598523,Space Shower官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
121530,26840986,4264151345,独立内核,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
495,99999,7803763678,新歌节目周盘点,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
24868,5721674,7645300560,最·Maroon 5,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
43692,5675381,7645964097,最·张艺兴,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
18809,1964706,7593095809,果然娱乐精选 | 果然，太Wow啦,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5511,937168,7589083902,方大同私藏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
214363,97562481,7001048679,最·周杰伦,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6593,1911670,7580008332,最·霍尊,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5228,1757403,7580068215,最·郑钧,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
210979,162288335,4265835817,下一首情歌,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
250925,91342384,4264150135,不简单女声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
46738,9851743,5123738370,UrbanFlow,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
16340,3478065,7020596025,Urban / MusicAllGroove,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
22276,1756355,7568158174,Taylor Swift:City of Lover现场歌单,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
54951,9615392,5562333206,日本独立音乐,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
38006,20257915,7100401222,粵声乐色,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8127,823107,7559509511,日系| 夏の歌,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
40034,11649983,7501335923,滚石官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4373,326814,7523631123,AVEX官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5393,751130,7502920415,JYP官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2089,338208,7534393427,最·Alicia Keys,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1276,165467,7543271251,最·OOHYO,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8322,461391,7516585367,最·花泽香菜,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
27110,6024357,6984920087,最·WINNER,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
10313,1739218,7512268857,最·Dua Lipa,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1681,109730,7522251885,最·东京事变,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5519,631994,7490957660,最·岚,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8068,447858,7490440586,Being官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
447,69075,7490448766,ICHIGO RECORDS,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
